OTU_ID	Kingdom_RDP	Kingdom_SINTAX	Kingdom_UTAX	Kingdom_Consensus	Phylum_RDP	Phylum_SINTAX	Phylum_UTAX	Phylum_Consensus	Class_RDP	Class_SINTAX	Class_UTAX	Class_Consensus	Order_RDP	Order_SINTAX	Order_UTAX	Order_Consensus	Family_RDP	Family_SINTAX	Family_UTAX	Family_Consensus	Genus_RDP	Genus_SINTAX	Genus_UTAX	Genus_Consensus	Species_RDP	Species_SINTAX	Species_UTAX	Species_Consensus
esv_3259	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Agaricomycetes	Agaricomycetes		Agaricomycetes		Polyporales		Polyporales												
esv_3258	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota		Ascomycota		Dothideomycetes		Dothideomycetes		Capnodiales		Capnodiales		Mycosphaerellaceae		Mycosphaerellaceae								
esv_7785	Fungi	Fungi	Fungi	Fungi																								
esv_3251	Fungi	Fungi	Fungi	Fungi																								
esv_3250	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Sordariomycetes	Sordariomycetes		Sordariomycetes		Hypocreales		Hypocreales		Nectriaceae		Nectriaceae								
esv_3253	Fungi	Fungi	Fungi	Fungi																								
esv_3252	Fungi	Fungi	Fungi	Fungi	Mucoromycota	Mucoromycota	Mucoromycota	Mucoromycota	Mucoromycetes	Mucoromycetes		Mucoromycetes	Mucorales	Mucorales		Mucorales	Cunninghamellaceae	Cunninghamellaceae		Cunninghamellaceae	Gongronella	Gongronella		Gongronella				
esv_3255	Fungi	Fungi	Fungi	Fungi																								
esv_3254	Fungi	Fungi	Fungi	Fungi		Ascomycota		Ascomycota																				
esv_6377	Fungi	Fungi	Fungi	Fungi																								
esv_6376	Fungi	Fungi	Fungi	Fungi		Basidiomycota		Basidiomycota																				
esv_3787	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota		Ascomycota		Sordariomycetes		Sordariomycetes																
esv_3786	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Tremellomycetes	Tremellomycetes	Tremellomycetes	Tremellomycetes	Trichosporonales	Trichosporonales		Trichosporonales	Trichosporonaceae	Trichosporonaceae		Trichosporonaceae	Apiotrichum	Apiotrichum		Apiotrichum		Apiotrichum xylopini 		Apiotrichum xylopini 
esv_3785	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Saccharomycetes	Saccharomycetes		Saccharomycetes	Saccharomycetales	Saccharomycetales		Saccharomycetales												
esv_3784	Fungi	Fungi	Fungi	Fungi																								
esv_3783	Fungi	Fungi	Fungi	Fungi																								
esv_3782	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota		Ascomycota		Sordariomycetes		Sordariomycetes																
esv_3781	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota		Basidiomycota	Agaricomycetes	Agaricomycetes		Agaricomycetes	Trechisporales	Trechisporales		Trechisporales	Hydnodontaceae	Hydnodontaceae		Hydnodontaceae	Fibrodontia	Fibrodontia		Fibrodontia	Fibrodontia alba 	Fibrodontia alba 		Fibrodontia alba 
